"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Principal residence","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527663","1.13.3.3.1.1","59153","","","","0"
"1999","Canada","2016A000011124","Other real estate","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527789","1.14.3.3.1.1","4593","E","","","0"
"2005","Canada","2016A000011124","Other real estate","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527789","1.14.3.3.1.1","","F","","","0"
"2012","Canada","2016A000011124","Other real estate","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527789","1.14.3.3.1.1","","F","","","0"
"2016","Canada","2016A000011124","Other real estate","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527789","1.14.3.3.1.1","30125","E","","","0"
"1999","Canada","2016A000011124","Vehicles","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527915","1.15.3.3.1.1","6499","","","","0"
"2005","Canada","2016A000011124","Vehicles","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527915","1.15.3.3.1.1","7704","","","","0"
"2012","Canada","2016A000011124","Vehicles","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527915","1.15.3.3.1.1","7536","","","","0"
"2016","Canada","2016A000011124","Vehicles","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527915","1.15.3.3.1.1","9816","","","","0"
"1999","Canada","2016A000011124","Other non-financial assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528041","1.16.3.3.1.1","9412","","","","0"
"2005","Canada","2016A000011124","Other non-financial assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528041","1.16.3.3.1.1","8736","","","","0"
"2012","Canada","2016A000011124","Other non-financial assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528041","1.16.3.3.1.1","8118","","","","0"
"2016","Canada","2016A000011124","Other non-financial assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528041","1.16.3.3.1.1","10052","","","","0"
"1999","Canada","2016A000011124","Equity in business","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528167","1.17.3.3.1.1","19414","E","","","0"
"2005","Canada","2016A000011124","Equity in business","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528167","1.17.3.3.1.1","","F","","","0"
