"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Bonds (saving and other)","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527127","1.9.1.3.5.1","3200","E","","","0"
"2016","Canada","2016A000011124","Bonds (saving and other)","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527127","1.9.1.3.5.1","3000","E","","","0"
"1999","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527253","1.10.1.3.5.1","","..","","","0"
"2005","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527253","1.10.1.3.5.1","","..","","","0"
"2012","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527253","1.10.1.3.5.1","9500","E","","","0"
"2016","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527253","1.10.1.3.5.1","10000","","","","0"
"1999","Canada","2016A000011124","Other financial assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527379","1.11.1.3.5.1","5500","E","","","0"
"2005","Canada","2016A000011124","Other financial assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527379","1.11.1.3.5.1","2400","E","","","0"
"2012","Canada","2016A000011124","Other financial assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527379","1.11.1.3.5.1","7400","E","","","0"
"2016","Canada","2016A000011124","Other financial assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80527379","1.11.1.3.5.1","10000","","","","0"
