,open,high,low,close,adjclose,volume,ticker
2020-01-28,17475.0,17561.900390625,17272.69921875,17379.80078125,17379.80078125,994111400,^GSPTSE
2020-02-04,17504.599609375,17758.5,17493.80078125,17740.599609375,17740.599609375,1078335900,^GSPTSE
2020-02-11,17783.599609375,17873.099609375,17750.80078125,17848.400390625,17848.400390625,923909000,^GSPTSE
2020-02-18,17818.900390625,17970.5,17463.099609375,17562.69921875,17562.69921875,1340493400,^GSPTSE
2020-02-25,17560.5,17586.80078125,15896.400390625,16553.30078125,16553.30078125,1804504300,^GSPTSE
2020-03-03,16674.900390625,16798.19921875,14498.2998046875,14514.2001953125,14514.2001953125,1913790000,^GSPTSE
2020-03-10,15019.0,15048.7998046875,11883.7001953125,12360.400390625,12360.400390625,2913322100,^GSPTSE
2020-03-17,12525.2998046875,13114.5,11172.7001953125,11228.5,11228.5,2940900300,^GSPTSE
2020-03-24,11909.7001953125,13690.400390625,11823.900390625,13038.5,13038.5,2355131200,^GSPTSE
2020-03-31,13083.900390625,13603.0,12814.0,13592.7001953125,13592.7001953125,2059821900,^GSPTSE
2020-04-07,13937.900390625,14329.2001953125,13571.5,14075.900390625,14075.900390625,1538792800,^GSPTSE
2020-04-14,14239.099609375,14509.7998046875,13874.7001953125,14388.2998046875,14388.2998046875,1648664500,^GSPTSE
2020-04-21,14106.5,14649.599609375,13940.099609375,14642.099609375,14642.099609375,1493666600,^GSPTSE
2020-04-28,14767.599609375,15257.900390625,14518.099609375,14745.0,14745.0,1655044700,^GSPTSE
2020-05-05,14899.400390625,15118.7998046875,14744.2998046875,15103.2001953125,15103.2001953125,1476695100,^GSPTSE
2020-05-12,15161.5,15184.900390625,14187.5,14638.900390625,14638.900390625,1212877900,^GSPTSE
2020-05-19,14911.400390625,15089.599609375,14783.900390625,15075.400390625,15075.400390625,1348933700,^GSPTSE
2020-05-26,15162.099609375,15342.400390625,14940.2998046875,15236.2001953125,15236.2001953125,2023229000,^GSPTSE
2020-06-02,15301.2001953125,15980.099609375,15279.400390625,15974.900390625,15974.900390625,1775030200,^GSPTSE
2020-06-09,15881.0,15907.900390625,14934.7001953125,15359.7001953125,15359.7001953125,1731980400,^GSPTSE
2020-06-16,15694.2998046875,15701.7998046875,15341.5,15516.900390625,15516.900390625,1929035300,^GSPTSE
2020-06-23,15673.7998046875,15679.400390625,15144.400390625,15389.7001953125,15389.7001953125,1125156300,^GSPTSE
2020-06-30,15342.599609375,15828.599609375,15319.400390625,15669.7001953125,15669.7001953125,766913300,^GSPTSE
2020-07-07,15605.2998046875,15879.7001953125,15391.7001953125,15639.400390625,15639.400390625,1027675100,^GSPTSE
2020-07-14,15625.0,16201.7001953125,15573.5,16183.7001953125,16183.7001953125,1009501500,^GSPTSE
